,name,score,loot,num_dangers,num_players,expected_value,leader_score,prob_dying,extra,num_artifacts,round_number,decision
3,D,0,0,0,0,0,0,0,0,0,1,1
7,D,0,0,1,4,4.275862068965517,0,0.06896551724137931,0,0,1,1
9,D,0,2,1,2,4.285714285714286,0,0.07142857142857142,0,0,1,1
11,D,0,2,2,2,4.444444444444445,0,0.14814814814814814,0,0,1,1
13,D,0,5,2,2,4.346153846153846,0,0.15384615384615385,1,0,1,1
18,D,0,0,2,2,4.346153846153846,0,0.15384615384615385,1,0,2,1
23,D,0,3,0,5,3.7586206896551726,6,0.0,0,0,2,1
28,D,0,5,0,5,3.5,6,0.0,1,0,2,1
32,D,0,5,1,4,3.6296296296296298,6,0.07407407407407407,0,0,2,1
36,D,0,5,2,4,3.769230769230769,6,0.15384615384615385,0,0,2,1
40,D,0,6,2,4,3.64,6,0.16,3,0,2,1
45,D,0,0,2,4,3.64,6,0.16,3,0,3,1
49,D,0,0,0,4,4.275862068965517,6,0.0,0,1,3,0
60,D,5,0,0,4,4.275862068965517,6,0.0,0,1,4,1
65,D,5,2,0,5,3.793103448275862,11,0.0,4,0,4,1
70,D,5,3,0,5,3.75,11,0.0,4,0,4,1
74,D,5,3,1,4,3.888888888888889,11,0.07407407407407407,0,0,4,1
78,D,5,3,2,4,4.038461538461538,11,0.15384615384615385,0,0,4,1
82,D,5,3,3,4,4.2,11,0.24,0,0,4,1
86,D,5,5,3,4,3.9166666666666665,11,0.25,3,0,4,1
90,D,5,6,3,4,3.782608695652174,11,0.2608695652173913,6,0,4,0
95,D,17,0,3,4,3.782608695652174,11,0.2608695652173913,6,0,5,1
99,D,17,3,0,4,3.7586206896551726,17,0.0,3,0,5,1
103,D,17,4,0,4,3.642857142857143,17,0.0,6,0,5,1
106,D,17,5,0,3,3.6666666666666665,17,0.0,0,0,5,1
109,D,17,5,1,3,3.8076923076923075,17,0.07692307692307693,0,0,5,1
112,D,17,10,1,3,3.28,17,0.08,2,0,5,1
115,D,17,10,2,3,3.4166666666666665,17,0.16666666666666666,2,0,5,1
118,D,17,10,3,3,3.5652173913043477,17,0.2608695652173913,2,0,5,0
4,E,0,0,0,0,0,0,0,0,0,1,1
8,E,0,0,0,4,4.275862068965517,0,0.0,0,1,1,1
12,E,0,2,0,4,4.035714285714286,0,0.0,3,1,1,1
16,E,0,2,1,4,4.185185185185185,0,0.07407407407407407,3,1,1,1
17,E,0,2,2,1,4.346153846153846,3,0.15384615384615385,0,1,1,1
18,E,0,3,2,1,4.48,3,0.16,0,1,1,1
19,E,0,12,2,1,4.291666666666667,3,0.16666666666666666,0,1,1,1
20,E,0,27,2,1,3.8260869565217392,3,0.17391304347826086,0,1,1,0
25,E,32,0,2,1,3.8260869565217392,3,0.17391304347826086,0,1,2,1
29,E,32,2,0,4,3.896551724137931,32,0.0,3,0,2,1
33,E,32,2,1,4,4.035714285714286,32,0.07142857142857142,3,0,2,1
36,E,32,5,1,3,3.8518518518518516,32,0.07407407407407407,0,0,2,1
39,E,32,5,2,3,4.0,32,0.15384615384615385,0,0,2,1
42,E,32,5,3,3,4.16,32,0.24,0,0,2,1
45,E,32,10,3,3,3.7083333333333335,32,0.25,0,0,2,1
50,E,32,0,3,3,3.7083333333333335,32,0.25,0,0,3,1
54,E,32,0,1,4,4.275862068965517,32,0.06896551724137931,0,0,3,1
57,E,32,5,1,3,3.892857142857143,32,0.07142857142857142,0,0,3,1
60,E,32,5,1,3,4.037037037037037,32,0.07407407407407407,0,1,3,1
63,E,32,5,1,3,4.153846153846154,32,0.07692307692307693,1,1,3,1
66,E,32,5,2,3,4.32,32,0.16,1,1,3,1
69,E,32,5,3,3,4.5,32,0.25,1,1,3,1
72,E,32,6,3,3,4.478260869565218,32,0.2608695652173913,3,1,3,1
73,E,32,17,3,1,4.181818181818182,32,0.2727272727272727,0,1,3,1
74,E,32,26,3,1,3.9523809523809526,32,0.2857142857142857,0,1,3,1
79,E,32,0,3,1,3.9523809523809526,32,0.2857142857142857,0,1,4,1
84,E,32,0,1,5,4.275862068965517,32,0.06896551724137931,0,0,4,1
89,E,32,0,2,5,4.428571428571429,32,0.14285714285714285,0,0,4,1
94,E,32,0,2,5,4.428571428571429,32,0.14285714285714285,0,0,5,1
98,E,32,0,1,4,4.275862068965517,32,0.06896551724137931,0,0,5,1
102,E,32,0,2,4,4.428571428571429,32,0.14285714285714285,0,0,5,1
3,D,0,0,0,0,0,0,0,0,0,1,1
7,D,0,0,0,4,4.275862068965517,0,0.0,0,1,1,1
10,D,0,0,0,2,4.392857142857143,0,0.0,1,1,1,1
11,D,0,0,0,1,4.555555555555555,6,0.0,0,1,1,1
12,D,0,7,0,1,4.461538461538462,6,0.0,0,1,1,1
13,D,0,9,0,1,4.56,6,0.0,0,1,1,1
14,D,0,9,1,1,4.75,6,0.08333333333333333,0,1,1,1
15,D,0,9,2,1,4.956521739130435,6,0.17391304347826086,0,1,1,1
16,D,0,12,2,1,5.045454545454546,6,0.18181818181818182,0,1,1,1
20,D,0,0,2,1,5.045454545454546,6,0.18181818181818182,0,1,2,1
25,D,0,3,0,5,3.7586206896551726,6,0.0,0,0,2,1
28,D,0,7,0,3,3.4285714285714284,9,0.0,1,0,2,1
31,D,0,7,0,3,3.4814814814814814,9,0.0,3,0,2,1
34,D,0,7,1,2,3.6153846153846154,10,0.07692307692307693,0,0,2,1
36,D,0,10,1,2,3.48,10,0.08,1,0,2,1
38,D,0,10,2,2,3.625,10,0.16666666666666666,1,0,2,1
40,D,0,10,2,2,3.739130434782609,10,0.17391304347826086,2,0,2,1
42,D,0,12,2,2,3.6818181818181817,10,0.18181818181818182,3,0,2,1
44,D,0,12,2,2,3.857142857142857,10,0.19047619047619047,3,1,2,1
45,D,0,21,2,1,3.6,20,0.2,0,0,2,1
46,D,0,25,2,1,3.5789473684210527,20,0.21052631578947367,0,0,2,0
50,D,25,0,2,1,3.5789473684210527,20,0.21052631578947367,0,0,3,1
54,D,25,0,0,3,4.275862068965517,25,0.0,0,1,3,1
57,D,25,0,1,3,4.428571428571429,25,0.07142857142857142,0,1,3,1
59,D,25,5,1,2,4.185185185185185,25,0.07407407407407407,1,0,3,1
60,D,25,5,1,1,4.346153846153846,25,0.07692307692307693,0,1,3,0
64,D,40,0,1,1,4.346153846153846,25,0.07692307692307693,0,1,4,0
79,D,40,0,1,1,4.346153846153846,25,0.07692307692307693,0,1,5,1
84,D,40,0,1,5,4.275862068965517,40,0.06896551724137931,0,0,5,1
89,D,40,0,1,5,4.357142857142857,40,0.07142857142857142,2,0,5,1
94,D,40,0,2,5,4.518518518518518,40,0.14814814814814814,2,0,5,0
2,C,0,0,0,0,0,0,0,0,0,1,1
7,C,0,0,1,5,4.275862068965517,0,0.06896551724137931,0,0,1,1
12,C,0,2,1,5,4.035714285714286,0,0.07142857142857142,1,0,1,0
26,C,3,0,1,5,4.035714285714286,0,0.07142857142857142,1,0,2,1
31,C,3,0,0,5,4.275862068965517,7,0.0,0,1,2,1
36,C,3,0,1,4,4.428571428571429,7,0.07142857142857142,0,0,2,1
38,C,3,1,1,2,4.481481481481482,7,0.07407407407407407,1,0,2,1
40,C,3,1,2,2,4.653846153846154,7,0.15384615384615385,1,0,2,1
42,C,3,1,3,1,4.84,7,0.24,0,0,2,1
43,C,3,8,3,1,4.75,7,0.25,0,0,2,1
46,C,3,0,3,1,4.75,7,0.25,0,0,3,1
50,C,3,0,1,3,4.275862068965517,7,0.06896551724137931,0,0,3,1
53,C,3,1,1,3,4.25,7,0.07142857142857142,2,0,3,1
56,C,3,1,2,2,4.407407407407407,8,0.14814814814814814,0,0,3,1
57,C,3,8,2,1,4.3076923076923075,8,0.15384615384615385,0,0,3,1
58,C,3,25,2,1,3.8,8,0.16,0,0,3,1
59,C,3,40,2,1,3.3333333333333335,8,0.16666666666666666,0,0,3,1
60,C,3,40,3,1,3.4782608695652173,8,0.2608695652173913,0,0,3,0
63,C,43,0,3,1,3.4782608695652173,8,0.2608695652173913,0,0,4,1
68,C,43,1,0,5,4.0344827586206895,43,0.0,2,0,4,1
72,C,43,3,0,4,3.7857142857142856,43,0.0,3,0,4,1
76,C,43,3,0,3,3.925925925925926,43,0.0,0,1,4,1
78,C,43,3,0,1,4.076923076923077,43,0.0,0,2,4,1
79,C,43,3,1,1,4.24,43,0.08,0,2,4,1
80,C,43,3,2,1,4.416666666666667,43,0.16666666666666666,0,2,4,1
81,C,43,7,2,1,4.434782608695652,43,0.17391304347826086,0,2,4,1
82,C,43,7,3,1,4.636363636363637,43,0.2727272727272727,0,2,4,1
83,C,43,7,4,1,4.857142857142857,43,0.38095238095238093,0,2,4,1
84,C,43,9,4,1,5.0,43,0.4,0,2,4,1
85,C,43,10,4,1,5.2105263157894735,43,0.42105263157894735,0,2,4,0
88,C,73,0,4,1,5.2105263157894735,43,0.42105263157894735,0,2,5,1
93,C,73,0,1,5,4.275862068965517,73,0.06896551724137931,0,0,5,1
97,C,73,1,1,4,4.178571428571429,73,0.07142857142857142,3,0,5,1
101,C,73,1,2,3,4.333333333333333,73,0.14814814814814814,0,0,5,1
104,C,73,2,2,3,4.3076923076923075,73,0.15384615384615385,2,0,5,1
107,C,73,2,3,3,4.48,73,0.24,2,0,5,1
109,C,73,7,3,2,4.208333333333333,73,0.25,1,0,5,0
2,C,0,0,0,0,0,0,0,0,0,1,1
6,C,0,0,0,4,4.275862068965517,0,0.0,0,1,1,1
