,name,score,loot,num_dangers,num_players,expected_value,leader_score,prob_dying,extra,num_artifacts,round_number,decision
1,B,0,0,0,0,0,0,0,0,0,1,1
6,B,0,0,1,4,4.275862068965517,0,0.06896551724137931,0,0,1,1
10,B,0,0,2,4,4.428571428571429,0,0.14285714285714285,0,0,1,1
13,B,0,0,3,3,4.592592592592593,0,0.2222222222222222,0,0,1,1
16,B,0,4,3,3,4.230769230769231,0,0.23076923076923078,2,0,1,1
19,B,0,4,4,2,4.4,6,0.32,0,0,1,1
22,B,0,0,4,2,4.4,6,0.32,0,0,2,1
27,B,0,4,0,4,3.689655172413793,6,0.0,1,0,2,1
31,B,0,6,0,4,3.4285714285714284,6,0.0,4,0,2,1
35,B,0,6,1,4,3.5555555555555554,6,0.07407407407407407,4,0,2,1
39,B,0,8,1,2,3.5,14,0.07692307692307693,1,0,2,1
40,B,0,8,2,1,3.64,14,0.16,0,0,2,1
41,B,0,8,3,1,3.7916666666666665,14,0.25,0,0,2,1
42,B,0,19,3,1,3.4782608695652173,14,0.2608695652173913,0,0,2,1
43,B,0,32,3,1,3.0454545454545454,14,0.2727272727272727,0,0,2,1
45,B,0,0,3,1,3.0454545454545454,14,0.2727272727272727,0,0,3,1
50,B,0,0,1,4,4.275862068965517,14,0.06896551724137931,0,0,3,1
54,B,0,4,1,3,3.9642857142857144,14,0.07142857142857142,1,0,3,1
56,B,0,9,1,2,3.7037037037037037,14,0.07407407407407407,1,0,3,1
58,B,0,11,1,2,3.6538461538461537,14,0.07692307692307693,2,0,3,1
60,B,0,11,1,2,3.8,14,0.08,2,1,3,1
62,B,0,11,2,2,3.9583333333333335,14,0.16666666666666666,2,1,3,1
64,B,0,16,2,1,3.9130434782608696,18,0.17391304347826086,0,0,3,1
65,B,0,16,3,1,4.090909090909091,18,0.2727272727272727,0,0,3,1
66,B,0,16,4,1,4.285714285714286,18,0.38095238095238093,0,0,3,0
68,B,16,0,4,1,4.285714285714286,18,0.38095238095238093,0,0,4,0
79,B,16,0,4,1,4.285714285714286,18,0.38095238095238093,0,0,5,1
84,B,16,0,1,4,4.275862068965517,24,0.06896551724137931,0,0,5,1
87,B,16,1,1,2,4.321428571428571,24,0.07142857142857142,1,0,5,1
89,B,16,6,1,2,4.074074074074074,24,0.07407407407407407,2,0,5,0
0,A,0,0,0,0,0,0,0,0,0,1,1
5,A,0,0,1,3,4.275862068965517,0,0.06896551724137931,0,0,1,1
8,A,0,0,1,3,4.275862068965517,0,0.06896551724137931,0,0,2,0
27,A,0,0,1,3,4.275862068965517,0,0.06896551724137931,0,0,3,1
32,A,0,1,0,4,4.103448275862069,11,0.0,1,0,3,1
36,A,0,3,0,4,3.857142857142857,11,0.0,4,0,3,0
58,A,7,0,0,4,3.857142857142857,11,0.0,4,0,4,1
63,A,7,0,1,4,4.275862068965517,11,0.06896551724137931,0,0,4,1
67,A,7,3,1,2,4.178571428571429,11,0.07142857142857142,1,0,4,1
69,A,7,3,1,2,4.333333333333333,11,0.07407407407407407,1,1,4,0
74,A,16,0,1,2,4.333333333333333,11,0.07407407407407407,1,1,5,1
79,A,16,0,1,4,4.275862068965517,16,0.06896551724137931,0,0,5,1
4,E,0,0,0,0,0,0,0,0,0,1,1
7,E,0,4,0,3,3.793103448275862,0,0.0,2,0,1,0
18,E,6,0,0,3,3.793103448275862,0,0.0,2,0,2,1
22,E,6,0,1,4,4.275862068965517,9,0.06896551724137931,0,0,2,1
25,E,6,0,1,3,4.428571428571429,9,0.07142857142857142,0,1,2,1
30,E,6,0,1,3,4.428571428571429,9,0.07142857142857142,0,1,3,1
35,E,6,0,1,5,4.275862068965517,9,0.06896551724137931,0,0,3,1
39,E,6,0,2,4,4.428571428571429,9,0.14285714285714285,0,0,3,0
44,E,6,0,2,4,4.428571428571429,9,0.14285714285714285,0,0,4,1
49,E,6,0,0,5,4.275862068965517,9,0.0,0,1,4,1
54,E,6,1,0,5,4.107142857142857,9,0.0,4,1,4,0
61,E,8,0,0,5,4.107142857142857,9,0.0,4,1,5,1
63,E,8,2,0,2,4.103448275862069,10,0.0,1,0,5,0
2,C,0,0,0,0,0,0,0,0,0,1,1
7,C,0,0,1,3,4.275862068965517,0,0.06896551724137931,0,0,1,1
